Date,Time,Product,ISIN,Reference exchange,Venue,Quantity,Price,,Local value,,Value EUR,Exchange rate,AutoFX Fee,Transaction and/or third party fees EUR,Total EUR,Order ID,
10-10-2024,19:25,ADR ON SEA LTD CLASS A,US81141R1005,NSY,JNST,18,96.6895,USD,-1740.41,USD,-1594.82,1.0913,-3.99,-2.00,-1600.80,ee460a31-cfa1-462b-ba8c-0a81c14dea63
26-09-2024,21:25,ADR ON SEA LTD CLASS A,US81141R1005,NSY,SOHO,13,94.8175,USD,-1232.63,USD,-1102.34,1.1182,-2.76,-2.00,-1107.09,ff92a409-decd-4b19-bf34-4943471a83de
18-09-2024,21:37,ADR ON SEA LTD CLASS A,US81141R1005,NSY,CDED,7,82.5450,USD,-577.82,USD,-519.62,1.1120,-1.30,-2.00,-522.92,b7c36192-963c-4df9-abc3-75785f13c88f
16-08-2024,14:12,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,7,121.6000,EUR,-851.20,EUR,-851.20,,0.00,,-851.20,037d82ef-419c-4d04-bc82-5afadf49674c
16-08-2024,14:10,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,1,121.6000,EUR,-121.60,EUR,-121.60,,0.00,,-121.60,037d82ef-419c-4d04-bc82-5afadf49674c
16-08-2024,13:52,VANGUARD FTSE ALL-WORLD UCITS - (USD),IE00BK5BQT80,XET,XETA,7,121.6000,EUR,-851.20,EUR,-851.20,,0.00,-1.00,-852.20,037d82ef-419c-4d04-bc82-5afadf49674c
,,ACCUMULATING ETF,,,,,,,,,,,,,,
16-08-2024,13:19,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,15,95.6000,EUR,-1434.00,EUR,-1434.00,,0.00,-1.00,-1435.00,32f4d7ed-8dd8-4f7b-bb9b-2fbf4a3c3a0c
16-08-2024,13:17,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,15,121.7000,EUR,-1825.50,EUR,-1825.50,,0.00,-1.00,-1826.50,3778615d-9fa2-4a9e-bdb8-42689e6fba62
09-07-2024,15:12,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,16,123.9000,EUR,-1982.40,EUR,-1982.40,,0.00,-1.00,-1983.40,913bff19-ab9d-4d08-886e-4914d287e4f6
09-07-2024,15:05,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,1,97.8520,EUR,-97.85,EUR,-97.85,,0.00,,-97.85,20841db9-426e-4fa3-ba19-80d4e6a76900
09-07-2024,15:05,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,10,97.8520,EUR,-978.52,EUR,-978.52,,0.00,-1.00,-979.52,20841db9-426e-4fa3-ba19-80d4e6a76900
10-06-2024,00:00,NVIDIA CORP,US67066G1040,NDQ,,50,120.8880,USD,-6044.40,USD,-5614.64,1.0765,0.00,,-5614.64,
10-06-2024,00:00,NVIDIA CORP,US67066G1040,NDQ,,-5,1208.8800,USD,6044.40,USD,5614.64,1.0765,0.00,,5614.64,
07-06-2024,11:39,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,25,119.7400,EUR,-2993.50,EUR,-2993.50,,0.00,-1.00,-2994.50,96938ea2-f2ff-4a24-b580-daa528337617
14-05-2024,13:22,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,30,118.6000,EUR,-3558.00,EUR,-3558.00,,0.00,-1.00,-3559.00,b7655631-8d14-4ff0-91f5-8da547e26396
16-04-2024,09:04,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,20,115.7600,EUR,-2315.20,EUR,-2315.20,,0.00,-1.00,-2316.20,baec3b33-4685-4cc4-8786-4cbbba75dede
16-04-2024,09:04,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,10,90.2550,EUR,-902.55,EUR,-902.55,,0.00,-1.00,-903.55,c5047ea4-c694-4256-987e-fb5836d5133b
19-03-2024,09:04,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,13,115.5800,EUR,-1502.54,EUR,-1502.54,,0.00,-1.00,-1503.54,52692747-68ba-4245-ad1c-4a8ee4f434f6
08-02-2024,12:01,VANGUARD FTSE ALL-WORLD UCITS - (USD),IE00BK5BQT80,XET,XETA,10,112.5400,EUR,-1125.40,EUR,-1125.40,,0.00,-1.00,-1126.40,ef6ba9e1-237b-4e3c-8ae0-32af3e257b16
,,ACCUMULATING ETF,,,,,,,,,,,,,,
29-01-2024,17:36,TESLA INC,US88160R1014,NDQ,SOHO,10,189.6990,USD,-1896.99,USD,-1755.67,1.0805,-4.39,-2.00,-1762.06,df364166-a318-4e87-9592-3a6af369cfed
01-12-2023,09:04,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,9,103.5000,EUR,-931.50,EUR,-931.50,,0.00,-1.00,-932.50,1aa5265f-36a4-4610-af64-434f86f7b88b
13-11-2023,12:15,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,10,101.3400,EUR,-1013.40,EUR,-1013.40,,0.00,-1.00,-1014.40,117088f2-53ad-4f83-8c43-5e0324a31501
25-10-2023,14:28,ADYEN NV,NL0012969182,EAM,XAMS,1,640.0000,EUR,-640.00,EUR,-640.00,,0.00,-4.90,-644.90,b5257a8f-3e4d-4d89-bfed-57bcf47c7576
12-10-2023,19:12,ADR ON SEA LTD CLASS A,US81141R1005,NSY,SOHO,10,44.9900,USD,-449.90,USD,-426.81,1.0541,-1.07,-2.00,-429.88,fee35a2f-c98d-4235-be96-aa43793e860f
03-10-2023,09:04,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,12,77.5970,EUR,-931.16,EUR,-931.16,,0.00,-1.00,-932.16,eb279114-837e-467d-b380-1987359155e2
03-10-2023,09:04,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,9,100.9600,EUR,-908.64,EUR,-908.64,,0.00,-1.00,-909.64,96f7606f-2259-43a0-a139-3821e455e15d
01-09-2023,09:04,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,7,78.9700,EUR,-552.79,EUR,-552.79,,0.00,-1.00,-553.79,c007b7b8-4cdb-443d-8bc6-880756d21bab
01-09-2023,09:04,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,5,102.6000,EUR,-513.00,EUR,-513.00,,0.00,-1.00,-514.00,ed80fbce-8838-416e-853a-a144667a0742
31-08-2023,15:30,APPLE INC,US0378331005,NDQ,XNAS,5,187.9600,USD,-939.80,USD,-865.22,1.0862,-2.16,-2.00,-869.39,73d61a08-0be2-46dc-bae5-a304e851629e
31-08-2023,15:30,MERCADOLIBRE INC,US58733R1023,NDQ,XNAS,1,1340.1100,USD,-1340.11,USD,-1233.77,1.0862,-3.08,-2.00,-1238.85,d1a9aac1-672c-4676-a22d-c92d1136a8b1
18-08-2023,11:10,ADYEN NV,NL0012969182,EAM,XAMS,2,850.0000,EUR,-1700.00,EUR,-1700.00,,0.00,-4.90,-1704.90,cb46d355-7201-4fe8-95c2-881a89c55144
25-07-2023,00:00,MERCADOLIBRE INC,US58733R1023,NDQ,,1,1198.4300,USD,-1198.43,USD,-1117.66,1.0723,0.00,,-1117.66,
25-07-2023,00:00,MICROSOFT CORP,US5949181045,NDQ,,5,345.1100,USD,-1725.55,USD,-1609.25,1.0723,0.00,,-1609.25,
20-07-2023,00:00,TESLA INC,US88160R1014,NDQ,,9,291.2600,USD,-2621.34,USD,-2444.66,1.0723,0.00,,-2444.66,
06-07-2023,15:45,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,12,76.7130,EUR,-920.56,EUR,-920.56,,0.00,-1.00,-921.56,86b49527-6245-4890-a050-f714edf13810
06-07-2023,15:44,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,10,99.9200,EUR,-999.20,EUR,-999.20,,0.00,-1.00,-1000.20,b5b9daa2-35bd-4d54-a413-c484fd98ac8d
06-07-2023,15:44,MERCADOLIBRE INC,US58733R1023,NDQ,XNAS,1,1210.0000,USD,-1210.00,USD,-1112.55,1.0876,-2.78,-2.00,-1117.33,4853858c-26c3-4290-a334-1bce6aeea456
26-06-2023,09:04,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,XET,XETA,10,99.2100,EUR,-992.10,EUR,-992.10,,0.00,-1.00,-993.10,e857bc99-549a-45f7-8734-f79b4ba466ef
26-06-2023,09:04,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,13,75.5970,EUR,-982.76,EUR,-982.76,,0.00,-1.00,-983.76,f04952e6-1e5a-46d4-a4bf-53cb8212c7d3
17-04-2023,09:04,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,10,71.5240,EUR,-715.24,EUR,-715.24,,0.00,,-715.24,afad2601-ff30-4914-8c09-1137cbc8770b
14-04-2023,19:29,ALPHABET INC CLASS A,US02079K3059,NDQ,CDED,8,107.8400,USD,-862.72,USD,-785.15,1.0988,-1.96,-1.00,-788.12,2a82d1b1-11d8-4bf4-b263-6f385d8bd5d9
14-04-2023,19:28,AMAZON.COM INC,US0231351067,NDQ,SOHO,10,101.7494,USD,-1017.49,USD,-926.01,1.0988,-2.32,-1.00,-929.33,d43228d1-18f3-41ec-ac58-7b93afe79795
14-04-2023,19:24,META PLATFORMS INC CLASS A,US30303M1027,NDQ,CDED,5,219.4400,USD,-1097.20,USD,-998.55,1.0988,-2.50,-1.00,-1002.05,cbf3cf2c-d75c-4398-b088-895ab2124e02
26-10-2022,20:58,TWILIO INC CLASS A,US90138F1021,NSY,CDED,2,74.8800,USD,-149.76,USD,-148.57,1.0080,-0.37,-1.00,-149.94,197e5dad-06cb-47db-8809-a5ea53b8a4eb
26-10-2022,20:57,ALPHABET INC CLASS A,US02079K3059,NDQ,CDED,5,95.2700,USD,-476.35,USD,-472.71,1.0077,-1.18,-1.00,-474.89,9a38a320-3807-430f-8a1e-b67d18752352
01-09-2022,21:30,NVIDIA CORP,US67066G1040,NDQ,CDED,3,137.7700,USD,-413.31,USD,-415.47,0.9948,-1.04,-1.00,-417.51,563231a4-41ea-495c-afb8-269f4027ba9c
29-08-2022,09:05,VANGUARD S&P 500 UCITS ETF USD DIS,IE00B3XXRP09,EAM,XAMS,1,77.1070,EUR,-77.11,EUR,-77.11,,0.00,,-77.11,d342a2a5-1670-4d86-a80f-c832ab8671e1
26-08-2022,18:06,VISA INC CLASS A,US92826C8394,NSY,CDED,2,204.9700,USD,-409.94,USD,-410.11,0.9996,-1.03,-0.50,-411.63,29ed568b-c6ce-4a41-956d-c9f4e70f6ba0
